source,category,complex_count,fraction_within_source
RCSB PDB,"E3:PDB experimental complex, 238 contact atom pairs <=5A",2,0.0011363636363636363
RCSB PDB,"E3:PDB experimental complex, 228 contact atom pairs <=5A",2,0.0011363636363636363
RCSB PDB,"E3:PDB experimental complex, 220 contact atom pairs <=5A",2,0.0011363636363636363
RCSB PDB,"E3:PDB experimental complex, 146 contact atom pairs <=5A",2,0.0011363636363636363
RCSB PDB,"E3:PDB experimental complex, 197 contact atom pairs <=5A",2,0.0011363636363636363
RCSB PDB,"E3:PDB experimental complex, 282 contact atom pairs <=5A",2,0.0011363636363636363
RCSB PDB,"E3:PDB experimental complex, 210 contact atom pairs <=5A",2,0.0011363636363636363
RCSB PDB,"E3:PDB experimental complex, 281 contact atom pairs <=5A",2,0.0011363636363636363
RCSB PDB,"E3:PDB experimental complex, 722 contact atom pairs <=5A",2,0.0011363636363636363
RCSB PDB,"E3:PDB experimental complex, 351 contact atom pairs <=5A",2,0.0011363636363636363
RCSB PDB,"E3:PDB experimental complex, 413 contact atom pairs <=5A",2,0.0011363636363636363
RCSB PDB,"E3:PDB experimental complex, 251 contact atom pairs <=5A",2,0.0011363636363636363
RCSB PDB,"E3:PDB experimental complex, 662 contact atom pairs <=5A",2,0.0011363636363636363
RCSB PDB,"E3:PDB experimental complex, 199 contact atom pairs <=5A",2,0.0011363636363636363
RCSB PDB,"E3:PDB experimental complex, 373 contact atom pairs <=5A",2,0.0011363636363636363
RCSB PDB,"E3:PDB experimental complex, 1026 contact atom pairs <=5A",2,0.0011363636363636363
RCSB PDB,"E3:PDB experimental complex, 198 contact atom pairs <=5A",2,0.0011363636363636363
RCSB PDB,"E3:PDB experimental complex, 256 contact atom pairs <=5A",2,0.0011363636363636363
RCSB PDB,"E3:PDB experimental complex, 674 contact atom pairs <=5A",2,0.0011363636363636363
RCSB PDB,"E3:PDB experimental complex, 346 contact atom pairs <=5A",2,0.0011363636363636363
RCSB PDB,"E3:PDB experimental complex, 743 contact atom pairs <=5A",2,0.0011363636363636363
RCSB PDB,"E3:PDB experimental complex, 214 contact atom pairs <=5A",2,0.0011363636363636363
RCSB PDB,"E3:PDB experimental complex, 669 contact atom pairs <=5A",2,0.0011363636363636363
RCSB PDB,"E3:PDB experimental complex, 229 contact atom pairs <=5A",2,0.0011363636363636363
RCSB PDB,"E3:PDB experimental complex, 486 contact atom pairs <=5A",2,0.0011363636363636363
RCSB PDB,"E3:PDB experimental complex, 604 contact atom pairs <=5A",2,0.0011363636363636363
RCSB PDB,"E3:PDB experimental complex, 223 contact atom pairs <=5A",2,0.0011363636363636363
RCSB PDB,"E3:PDB experimental complex, 496 contact atom pairs <=5A",2,0.0011363636363636363
RCSB PDB,"E3:PDB experimental complex, 880 contact atom pairs <=5A",2,0.0011363636363636363
RCSB PDB,"E3:PDB experimental complex, 782 contact atom pairs <=5A",2,0.0011363636363636363
RCSB PDB,"E3:PDB experimental complex, 297 contact atom pairs <=5A",2,0.0011363636363636363
RCSB PDB,"E3:PDB experimental complex, 746 contact atom pairs <=5A",2,0.0011363636363636363
RCSB PDB,"E3:PDB experimental complex, 383 contact atom pairs <=5A",2,0.0011363636363636363
RCSB PDB,"E3:PDB experimental complex, 639 contact atom pairs <=5A",2,0.0011363636363636363
RCSB PDB,"E3:PDB experimental complex, 469 contact atom pairs <=5A",2,0.0011363636363636363
RCSB PDB,"E3:PDB experimental complex, 263 contact atom pairs <=5A",2,0.0011363636363636363
RCSB PDB,"E3:PDB experimental complex, 272 contact atom pairs <=5A",2,0.0011363636363636363
RCSB PDB,"E3:PDB experimental complex, 248 contact atom pairs <=5A",2,0.0011363636363636363
RCSB PDB,"E3:PDB experimental complex, 493 contact atom pairs <=5A",2,0.0011363636363636363
RCSB PDB,"E3:PDB experimental complex, 271 contact atom pairs <=5A",2,0.0011363636363636363
RCSB PDB,"E3:PDB experimental complex, 689 contact atom pairs <=5A",2,0.0011363636363636363
RCSB PDB,"E3:PDB experimental complex, 514 contact atom pairs <=5A",2,0.0011363636363636363
RCSB PDB,"E3:PDB experimental complex, 201 contact atom pairs <=5A",2,0.0011363636363636363
RCSB PDB,"E3:PDB experimental complex, 442 contact atom pairs <=5A",2,0.0011363636363636363
RCSB PDB,"E3:PDB experimental complex, 520 contact atom pairs <=5A",2,0.0011363636363636363
RCSB PDB,"E3:PDB experimental complex, 738 contact atom pairs <=5A",2,0.0011363636363636363
RCSB PDB,"E3:PDB experimental complex, 456 contact atom pairs <=5A",2,0.0011363636363636363
RCSB PDB,"E3:PDB experimental complex, 1009 contact atom pairs <=5A",2,0.0011363636363636363
RCSB PDB,"E3:PDB experimental complex, 728 contact atom pairs <=5A",2,0.0011363636363636363
RCSB PDB,"E3:PDB experimental complex, 357 contact atom pairs <=5A",2,0.0011363636363636363
RCSB PDB,"E3:PDB experimental complex, 690 contact atom pairs <=5A",2,0.0011363636363636363
RCSB PDB,"E3:PDB experimental complex, 701 contact atom pairs <=5A",2,0.0011363636363636363
RCSB PDB,"E3:PDB experimental complex, 326 contact atom pairs <=5A",2,0.0011363636363636363
RCSB PDB,"E3:PDB experimental complex, 754 contact atom pairs <=5A",2,0.0011363636363636363
RCSB PDB,"E3:PDB experimental complex, 571 contact atom pairs <=5A",2,0.0011363636363636363
RCSB PDB,"E3:PDB experimental complex, 268 contact atom pairs <=5A",2,0.0011363636363636363
RCSB PDB,"E3:PDB experimental complex, 1018 contact atom pairs <=5A",2,0.0011363636363636363
RCSB PDB,"E3:PDB experimental complex, 417 contact atom pairs <=5A",2,0.0011363636363636363
RCSB PDB,"E3:PDB experimental complex, 388 contact atom pairs <=5A",2,0.0011363636363636363
RCSB PDB,"E3:PDB experimental complex, 671 contact atom pairs <=5A",2,0.0011363636363636363
RCSB PDB,"E3:PDB experimental complex, 202 contact atom pairs <=5A",2,0.0011363636363636363
RCSB PDB,"E3:PDB experimental complex, 164 contact atom pairs <=5A",2,0.0011363636363636363
RCSB PDB,"E3:PDB experimental complex, 316 contact atom pairs <=5A",2,0.0011363636363636363
RCSB PDB,"E3:PDB experimental complex, 142 contact atom pairs <=5A",2,0.0011363636363636363
RCSB PDB,"E3:PDB experimental complex, 315 contact atom pairs <=5A",2,0.0011363636363636363
RCSB PDB,"E3:PDB experimental complex, 327 contact atom pairs <=5A",2,0.0011363636363636363
RCSB PDB,"E3:PDB experimental complex, 374 contact atom pairs <=5A",2,0.0011363636363636363
RCSB PDB,"E3:PDB experimental complex, 183 contact atom pairs <=5A",2,0.0011363636363636363
RCSB PDB,"E3:PDB experimental complex, 340 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 306 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 429 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 269 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 291 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 264 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 241 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 453 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 477 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 445 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 410 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 339 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 260 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 355 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 318 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 933 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 304 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 204 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 203 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 177 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 262 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 371 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 363 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 400 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 818 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 324 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 300 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 322 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 1008 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 1022 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 719 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 731 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 250 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 231 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 804 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 1297 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 1267 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 252 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 1301 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 419 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 770 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 781 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 515 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 321 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 1065 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 744 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 517 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 771 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 699 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 661 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 687 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 489 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 663 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 338 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 624 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 640 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 774 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 975 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 962 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 729 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 200 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 403 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 756 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 468 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 335 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 336 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 481 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 404 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 310 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 777 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 713 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 460 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 721 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 601 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 806 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 673 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 854 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 286 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 247 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 644 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 529 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 679 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 612 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 642 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 628 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 522 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 290 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 874 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 554 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 600 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 1052 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 283 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 412 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 519 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 447 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 298 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 620 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 433 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 398 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 309 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 483 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 226 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 1087 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 830 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 1072 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 737 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 1012 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 753 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 736 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 615 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 277 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 317 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 1006 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 230 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 516 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 748 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 767 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 466 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 568 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 629 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 611 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 631 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 638 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 695 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 625 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 595 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 715 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 691 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 696 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 730 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 717 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 961 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 504 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 614 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 668 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 395 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 513 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 1060 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 599 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 557 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 190 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 1423 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 561 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 709 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 583 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 703 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 596 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 237 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 564 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 196 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 710 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 261 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 216 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 436 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 567 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 1013 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 255 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 449 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 479 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 393 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 779 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 307 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 370 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 308 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 218 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 712 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 276 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 780 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 288 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 875 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 862 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 930 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 510 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 548 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 407 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 444 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 566 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 432 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 768 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 755 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 603 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 491 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 582 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 333 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 588 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 725 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 686 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 301 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 443 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 553 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 494 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 325 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 431 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 785 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 580 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 244 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 846 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 440 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 809 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 439 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 497 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 242 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 742 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 224 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 441 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 420 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 867 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 636 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 1011 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 683 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 677 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 694 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 552 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 577 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 303 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 765 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 927 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 989 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 399 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 800 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 787 contact atom pairs <=5A",1,0.0005681818181818182
RCSB PDB,"E3:PDB experimental complex, 870 contact atom pairs <=5A",1,0.0005681818181818182
