source,category,complex_count,fraction_within_source
RCSB PDB,"E3:PDB experimental complex, 31 contact atom pairs <=5A",11,0.00625
RCSB PDB,"E3:PDB experimental complex, 27 contact atom pairs <=5A",11,0.00625
RCSB PDB,"E3:PDB experimental complex, 116 contact atom pairs <=5A",11,0.00625
RCSB PDB,"E3:PDB experimental complex, 169 contact atom pairs <=5A",11,0.00625
RCSB PDB,"E3:PDB experimental complex, 96 contact atom pairs <=5A",11,0.00625
RCSB PDB,"E3:PDB experimental complex, 60 contact atom pairs <=5A",11,0.00625
RCSB PDB,"E3:PDB experimental complex, 28 contact atom pairs <=5A",11,0.00625
RCSB PDB,"E3:PDB experimental complex, 159 contact atom pairs <=5A",11,0.00625
RCSB PDB,"E3:PDB experimental complex, 99 contact atom pairs <=5A",11,0.00625
RCSB PDB,"E3:PDB experimental complex, 77 contact atom pairs <=5A",11,0.00625
RCSB PDB,"E3:PDB experimental complex, 122 contact atom pairs <=5A",11,0.00625
RCSB PDB,"E3:PDB experimental complex, 53 contact atom pairs <=5A",10,0.005681818181818182
RCSB PDB,"E3:PDB experimental complex, 162 contact atom pairs <=5A",10,0.005681818181818182
RCSB PDB,"E3:PDB experimental complex, 76 contact atom pairs <=5A",10,0.005681818181818182
RCSB PDB,"E3:PDB experimental complex, 55 contact atom pairs <=5A",10,0.005681818181818182
RCSB PDB,"E3:PDB experimental complex, 64 contact atom pairs <=5A",10,0.005681818181818182
RCSB PDB,"E3:PDB experimental complex, 42 contact atom pairs <=5A",10,0.005681818181818182
RCSB PDB,"E3:PDB experimental complex, 85 contact atom pairs <=5A",10,0.005681818181818182
RCSB PDB,"E3:PDB experimental complex, 74 contact atom pairs <=5A",10,0.005681818181818182
RCSB PDB,"E3:PDB experimental complex, 79 contact atom pairs <=5A",10,0.005681818181818182
RCSB PDB,"E3:PDB experimental complex, 105 contact atom pairs <=5A",10,0.005681818181818182
RCSB PDB,"E3:PDB experimental complex, 103 contact atom pairs <=5A",10,0.005681818181818182
RCSB PDB,"E3:PDB experimental complex, 54 contact atom pairs <=5A",10,0.005681818181818182
RCSB PDB,"E3:PDB experimental complex, 6 contact atom pairs <=5A",10,0.005681818181818182
RCSB PDB,"E3:PDB experimental complex, 104 contact atom pairs <=5A",9,0.005113636363636364
RCSB PDB,"E3:PDB experimental complex, 75 contact atom pairs <=5A",9,0.005113636363636364
RCSB PDB,"E3:PDB experimental complex, 120 contact atom pairs <=5A",9,0.005113636363636364
RCSB PDB,"E3:PDB experimental complex, 137 contact atom pairs <=5A",9,0.005113636363636364
RCSB PDB,"E3:PDB experimental complex, 63 contact atom pairs <=5A",9,0.005113636363636364
RCSB PDB,"E3:PDB experimental complex, 89 contact atom pairs <=5A",9,0.005113636363636364
RCSB PDB,"E3:PDB experimental complex, 17 contact atom pairs <=5A",9,0.005113636363636364
RCSB PDB,"E3:PDB experimental complex, 26 contact atom pairs <=5A",9,0.005113636363636364
RCSB PDB,"E3:PDB experimental complex, 73 contact atom pairs <=5A",9,0.005113636363636364
RCSB PDB,"E3:PDB experimental complex, 13 contact atom pairs <=5A",9,0.005113636363636364
RCSB PDB,"E3:PDB experimental complex, 119 contact atom pairs <=5A",9,0.005113636363636364
RCSB PDB,"E3:PDB experimental complex, 72 contact atom pairs <=5A",9,0.005113636363636364
RCSB PDB,"E3:PDB experimental complex, 8 contact atom pairs <=5A",9,0.005113636363636364
RCSB PDB,"E3:PDB experimental complex, 154 contact atom pairs <=5A",8,0.004545454545454545
RCSB PDB,"E3:PDB experimental complex, 58 contact atom pairs <=5A",8,0.004545454545454545
RCSB PDB,"E3:PDB experimental complex, 161 contact atom pairs <=5A",8,0.004545454545454545
RCSB PDB,"E3:PDB experimental complex, 25 contact atom pairs <=5A",8,0.004545454545454545
