rank,sequence_hash,complex_count
68,4c4d28512cf712104d0b7374cb68ae9d3cf5d4f5d7e81c617fb0ad49332165f7,441
69,cbe15fc80b0634f84d7299fa370a329e37024ef5afa603899deab1483df850ca,438
70,c4825fecc4bc380e5bce3a3e3e9e00e83acbca438fbf1428a50d5b8fbd77cbb7,429
71,ded6a6063fb8cd20aa0286c4dd059d4044072974d434a10e912500ab8012373f,429
72,5027cd79ae00ec6b79cc187bc13d95a3f0abbf588e16a2765db0009366148c92,411
73,fe91df3a1c93406639f608fdff6fa551ada4b216065b5ab2c1ff16ec12cbb07b,410
74,83fff9e7321f503d1218bfc29e477268abb7de30e56a53a10ba3cf805b2fae6b,396
75,4c6227d55a2a3c4faac5fee8b9211f1cb694554acbcbaaf1b25886b4a4120f19,389
76,1156c074a7f022e2e830a4f7bf2dc9f681452791f1bc93013ba64c90bc7a4bb3,340
77,46442fe990309a7ae743099a011abc55c1aa332d19da4659d9174d14dbe45ba4,325
78,8969955281528046ab7f05551e18e491a0a179c953c6c4ca051e12ee588859e5,315
79,7936a5a915944e44b9feaf803400283988ea53c14d877e78053209f31b7c85e6,310
80,2c713580de5fe9f38fa24b7bf5faae264a15f27aa9a5998634ba1fffd40e721b,304
81,ce37d1d34d5c2df006d805a55259214093d9a4756e425044d49c03d4d3763d59,298
82,0398f25f8a0f4a4191727351d2fd54d124020728f209a603d3dfc039e2b3299d,285
83,f4423fc9d6fc0f2aac2e7e549ceef49a398048ef81ca86ff3b017b94f2ce340f,285
84,bc904fc3b8a39be8105a3bfbea7e9c2ca486f01ca4bf9684c16aefdf6a88648c,280
85,df365308c4ad893dc5c4da54a79349e16c11f8c1194b238e0a16b4d544802073,280
86,e8f3d92e8bea09a6f9c9a3a98ec4bf248bf63f82ecdafc2001e357d933e78276,270
87,b34ccf4be38dfe0eef956880c189a1de0e74db1de145eaf43853d62ac5f61f36,269
88,098f61e386b868d4c07b9c7abe66aa22c3eaea7e9757060671eeb0aa43254b15,267
89,f1ef78254cbbf2a5fe224e585704a034eab9a15c48b7f8d6be63fbbd09491c76,262
90,87386ac4315947d0ad1094d2d48cb0118f9ce61c722e2beda3c80bd0e5bebbbe,252
91,176d791e481cb2e52737cdb1c14695e77230ac61d5bc893adc543d095b381d79,237
92,ada8e8a95a5a377ae14fef61f1feaf5d43044912f5be5ef8bbec1dbb55e93528,233
93,f049a83b779ddf5546c297be84895f932f935ffbf729bd8e755ae14bf3793f3f,233
94,1a2821727315a18e0dab52c63977c30e8c4be712b2c0a966774171ce3ce5d3da,227
95,101a982da562fc0f0e294386abf46f27d65a0dff3749f920b9aba4be08e97fdc,222
96,cf91c5a13557af33e68dbcd405773056a6c7ea8bdd09e7af512b3d5aba49fe40,222
97,2e710fd8bdeaaa1ae9c9639503800bd9ffbe85f13d1541945cac777d2a84a8c2,221
98,2f5134213a9f1129136a678bb31b772a54dda31342dca3a846fcb5707dec050b,221
99,9fe72522f21ef73d3cb27a82fb3d198f1c871bca25715a5049ce11c8653f9956,219
100,3add9f2e965ee69d839b4664e7e0c3a26e92d5b49f5f5e35df9b0a732de20ce5,217
101,7d0e7015e56114175dd0b53f4d94b9b246eecd9bd9a731000ae0388774a2f5e5,212
102,b51a922f8f9c876d9381e7a3cbb16d49cc75455ec648a608a5ff253a6c40e1cd,209
103,d305201261eeab8de44d1384e02e5ccc073a4215d3736224f850741d0673fc92,203
104,59fbd9c8e5b72d29861ef54feacd32a28e0c8fe61f190e1a8211caefdfba725b,202
105,69706cd52d6f574832f2271bd3f5f0f142bbfa0b0078f9e7134f9efd8aea867b,198
106,acfa484c42cfffe53e1c5b8454e5122d33697c0110cee32c8ed105610033eeb7,196
107,a9185594bc716a1ffd996c527175e11ab853ad172878377518d0090cc3275031,194
108,93a32e58eb0310a18ce3069c4e0112de0472db029109a28b0254988aca1f7ca6,192
109,fa0de7cf1c6f91ee9a32986ff319bbba15182740be154d150a142e0933eabef4,178
110,b009aa84d6f48652cd55ea26c2014aab873efce6c4db6062af95d12f0a1feed8,176
111,ce2c05287395b2074a1b926a54c17cce93ccc6595614a3ab2df84602d354dae8,174
112,08753e33f13cb41cfc75f9630a8199c09db43e23fc3c74764381d276b28fcc52,173
113,505b9fff46cfd07019766c1534281c37f408532d0acc4d7698c5281af0529355,173
114,6ebcd9d1f5201ce756f83bdc960921125f57a30d267f8b2993f4652f9c93a620,173
115,c473e0faa4251ccbf72a4bee0834a7602ad36606e7830aa8b016f26fb37e6831,173
116,db904fb6bea3d836fa9c2d870a738e324e79a98b89b69b5f2492e9772b7efbb7,172
117,1a37f30b16ef926b7496e470dd630772a646849fba314d39472697d9706c0dce,170
118,0b3876acee6e8459d85659a285943029f82f8c1a8b02bea5384113244bea94ca,155
119,593d0fc10dfc2f9f08cfd8f1de506651820579909446741910c1d22f687ff544,155
120,5dd636b99abf4c0d844886b0223769287340212770f0726bdd56f5460d3ce3a9,142
121,7ef4247e612485b0f4347f1aabc647d1ccc3fd2a4f4ec4673c0c919548e66b9f,141
122,abfee829de6ea9083caf1fc4a76aa7293c005e0007dd0eb64b6c0337f1e59aff,132
123,4b73d64b0465b0ed784b159cdfa81ed8eae4d6ca2d3bcfc241ede579e2daf865,128
124,dd4404fe400b9d8b1c32debc5b5d145baffe92f93cd35733d08b258005b15e0a,128
125,8a2b16ac22a19e989dc0d263398b31ba82e3d207662e44d1ded84290e51cd727,126
126,16353fe958a32dd95bb36c2709d21f03c58ccb8f70d301f87027e47ca5c593ba,125
