source,molecule,n,mean,sd,min,p10,p25,p50,p75,p90,p95,max
NPInter 主表,protein,32079,658.9451354468656,340.3929892071662,53,321.0,372.0,577.0,861.0,1226.0,1336.0,1962
NPInter 主表,RNA,32079,382.00629695439386,77.99427830517527,201,267.0,322.0,392.0,445.0,478.0,491.0,500
NPInter binding-site,protein,67185,653.6414675894918,325.8230721148031,53,321.0,414.0,557.0,856.0,1129.0,1336.0,1647
NPInter binding-site,RNA,67185,45.41491404331324,29.611263916024633,10,19.0,26.0,38.0,54.0,79.0,102.0,372
NPInter miRNA,protein,312,697.2435897435897,406.69481628392685,55,209.0,245.5,650.0,1226.25,1227.0,1227.0,1227
NPInter miRNA,RNA,312,21.881410256410255,1.337815298638296,17,20.0,21.0,22.0,23.0,23.0,24.0,27
RCSB PDB,protein,2738,484.054784514244,388.4700303500975,50,114.0,187.0,363.0,697.0,1054.3000000000002,1364.15,1981
RCSB PDB,RNA,2031,52.23929098966027,54.88529779080849,10,12.0,18.0,35.0,72.0,102.0,137.0,473
