complex_id,source,rna_hash,length_nt
PAIR:8829c88f87e31947ce04eba8918e123bbd3306562e07268431698f586c1ff119,NPInter binding-site,f9c9b734a8a760f47f0da44284a5db34317a04e6d6f3c639f276fb3aa30e8140,51
PAIR:b67dbb8b168e16d3d75edab42d349786c35e9074d0d107057dbe21c543e37ccc,NPInter binding-site,4ff3f6cfec25524bbf6d232ae093b0f1f4de052f6ea5710ca0d252f7bc3d9530,24
PAIR:c30cba00e0da7d100dd38df1600ff7a0e2cda7a30450c669e4b7e73f74b1f50d,NPInter binding-site,543bbc281ee0596ef9c93b11d02101b6b210862a9fd0debc6381d31b2285b7d3,77
PAIR:1a871d579d20e801ddfd9e63deb3daedc4982b3780061f3d171718e7324a5edb,NPInter binding-site,22673a0e2f6f426ca5e0203a23edb446af78378bde3b58b64f4ba5c68a93cbc1,50
PAIR:3f2410e214dbcf3aa30c1c4354b0a30f7ef851de241ba13db2263e9ae0ff8383,NPInter binding-site,fc5e70a653439358684fcccbc31f055e345fddf52e705957524ca166ee34f54c,39
PAIR:cbabc1b960170693fff40bd8765b6a5330ce366e265323c62c225af413ad9f28,NPInter binding-site,38b1650ac48c016ed522ca4da1af69c15e5a49e10167f627ebc3a0dff74bbf6e,24
PAIR:2cd6d4736c745a31b1fb2d968e3801e0f453f1062e599c7c8d698971c188ff08,NPInter 主表,aaeb36edebc41e731dbc680092eaeaa6ce5be701b7ef5800e22863efe6f079e0,427
PAIR:e888a0dc86cc666853164c1d730371c56ab5f5e828610271b32eb5331827ea7b,NPInter binding-site,bcb2efc9dc62e10767b90f4d2e1a399fafd88aa5d0523990910032e94b22cf90,18
PAIR:8fe4eaff155ab2e580cf0c74ebe0abdc52ff4b2e1706f64d79e2ddebb6b38035,NPInter binding-site,6168dd8c84f2239f89ee12c01c0a0d37b0b0f347def536375a9a0ee6110e6799,13
PAIR:44e1f8063defc734d6418ba8852322b4485a6977c458fdabaa5770b3d1cab023,NPInter binding-site,777336a91cf0ed0ba15c00bc15551e26a9bbc0348efd84c1cb804d473feac1ae,101
PAIR:3e5149c662a8fec8716051f36aec880b97ee2ff8e0e78198a6254c434edfd9ab,NPInter binding-site,2d045c566f4238fcfe5249653fd6e5b6f3b6f372d09af32c73504356e235eac3,29
PAIR:011f7a03f4b51b2c4c61a81265604afc56f2a98715d4ab97b8dff3cb98460e1f,NPInter binding-site,797c08ebb192125c5a934f4a09c882aed21897f2dd81953bf3fd1c2afa3979e4,26
PAIR:cbf01736921324496149c7754e955eaf1a390d3db47f0da5297700049ea66509,NPInter 主表,7eb94d6b6fdcb1d46fad4d195b44809acbae8516c3725c404398540fef6ced6d,497
PAIR:217a73beb42c66a080ef25d80b99c482ced7a91ade3d515bd77cd2b1b86aed74,NPInter binding-site,d34cab6e67ff974b54c9de483b056204e119085fa1996afd4a75fef7eab6700d,18
PAIR:3d0d0011005cd58cf019b88c272adbfd488da883ee33989113496de0afb4f50f,NPInter binding-site,cc82f1f0fcdc6326f8f5e8917e1d22350a86d9c447b1649ca3f55094aa76299a,43
PAIR:a2abb1f2ece5b3aba3c19580b3d902f5677cfe663a1831c75cf92f4c08d11777,NPInter binding-site,a8f6e4eeb49f41c49c80145dcaa0aa870ab3d8e26a846ca7ccad758a3e0c7951,46
PAIR:1932ff09aac330751446719e38dc25e32112805c8423e40a69655883b52b69d9,NPInter 主表,b7c672d0645f5742a05153847231db13e0fd2c2a7630115f5edddfb9a41effab,470
PAIR:96030833ada170823f7d55dfe57b8964565b5faf5d8014b5c2f94862374c6706,NPInter 主表,d4412959faef28eec70cecee33a3a7efa806a0f895c68099bc349c459051bfa3,434
PAIR:0db804ea3d03a5ea539cf68ba08eeacc112ccddf5e2b1d685522fef7182948b0,NPInter binding-site,0dc93684fc8d45b72b397bb5ea0147a4dc04c068080eb384944deb1ee8bb7f48,136
PDB:4ZDO,RCSB PDB,d360898e78fadcb53547400c9b6304f21b6702f321aa49add6dd58c1a7297463,87
PAIR:0a7eba0ac9f84b541679b468aca4ffdb82623b2423328e10df31ea3dea672871,NPInter binding-site,533cc647cacc3787db18acf824c4930be76e6a2738f486556f21a9e21b1caff9,60
PAIR:e43eddb292bb1fadd32adda334082885c61e7c4b9b36a95cb55dbfae20204541,NPInter binding-site,b582361b2794b2495a9ae2c203a6c37ebc0b0273fe902b067af964016d26e8e2,32
PAIR:e52c548f35875c7ee171498d78931fe010a3f69f1ee25ff27370c9f0ba4c4f0a,NPInter binding-site,45b0624a5884574f15dada28e57b1ef1128f0dc4abc91f8c2e3f0d67d2ec9565,38
PAIR:d4a303ec7470e957593c2f18e5d21e3a7e310143705bf2122c85eafcdf7a0daf,NPInter 主表,429eef4e58a89b9468a79cf8521be8b2b573db96574c6cfeab7616ff1a4966e4,236
PDB:8H7Q,RCSB PDB,37c98f2184e689e368e7366560a8d0d6ad6776118d93fb069e325cda5b8150d9,36
PAIR:6d17a14c1b77dfa833837c397253868a11304c88ff43f7eeaabc48d4d79b7007,NPInter binding-site,5f7bc59749297b618aa55e6c133e5d9648c6cd72cf0edade0486865602bcdae5,19
PAIR:a40c8f739fe9b39398c27a175f3e528e4528aeff77b26dcfd7f2ebf4555e0d9a,NPInter binding-site,52d929127c05670c489059cd399d7a03fa014addd346e3bcf73b7be455938a1d,25
PAIR:825717b63f9dd6303097c6b3ac775b1a7aff323833854596b6bd4205a8f8b5a7,NPInter 主表,67f9e596ec1353b07810ed1cac61652f1184cb7b8e55f17f0fbf08a0bab7b5f8,420
PAIR:c83f1da6805b0a1a141b57897f0afc7cd72e67366f1acafb0a1f0a30e26d0f42,NPInter binding-site,40c11adf653fdc500ea15ac4e8a718d96ff2fb81cc5afba12c7cae202cadd7f5,63
PAIR:fc3fa350b5f894229416e09252ab1eca6773f175605908e23e489eaa2f9f23ca,NPInter 主表,ee184c6be70375b06ff97ee9a70f75fbcba4da1d2f94561ec6151acbd55c83fa,265
PAIR:f7d79aba5e324ed3430721dbbc969b6ca4223663d5822370adf03b63b98c0526,NPInter 主表,23ab0bbd0ebe662e80fc472ec1f126b904ceaba9fd9655d6f6ea61eff2957651,346
PAIR:fddb1e646cf117f0b6395330804a9bd06c360ea081f9358fc7f1587f778fe06f,NPInter binding-site,b04ebde5b6b971ea6f21a77fd3ebaf6595946f09bdbb79b55de21658177d65d3,21
PAIR:d56fe2ed9d08b3601b4369c4131b978a0ea71610683988163a4ad0eacf97c7db,NPInter binding-site,fbe4f42204ab505019f69fb3064421df2216cdb3b459d705831ffb92d7fa0e7d,44
PAIR:a100e157fc267c688196b035accc1c526367f3dd7c6cd494487252bc49570288,NPInter binding-site,f8f7d750f11ab181daf806fe785c75a370668e4e35ee5458bbc88a2b49c890d9,46
PAIR:b4c8761aa72f93d8fd31568bda634add2e8ccfe972b67910768692f4fab946f4,NPInter binding-site,4b246d0d4a940e6c508b21d0d8d78ba345a2854b9ec88702f910eb490f7d5503,158
PAIR:cf0a6ed32cc01091be9d940ebecde43a23fc284dd4eb4549c10763917700b5bc,NPInter binding-site,d7073af4aa6ce361ada286bb95e5022fd9d5ece2c508ab70ed77aa8f43ff9365,51
PAIR:b8e22c0dc6d1edcfd03746a2bac74934750ad4597038a9db2fc0f73d363f1128,NPInter 主表,1ecdee8f49c05996fc8ee3c97ca890ad079486081ab09c5b10f6c293e39f95fd,264
PAIR:527f9314ca6daa69eefa6f057858fde54f2e918a246598897c812cc7295feb37,NPInter binding-site,0d62345edb53ae297110edc6021499269b18d73d2915e273a91ad8a5312993a4,24
PAIR:0fc14e5eb3a16da1448f39219776ccbb87b5db241c91eb629c3320b861fc4007,NPInter binding-site,b26a7324cbc7a4bf97d114f59aca32cffb62a555dfb7ddc21acaee0305b5ff38,13
PAIR:1a1dd626a3c015235f4f659c4aa99913ab5fe5790a1a9cb3063e4fcaa45d666c,NPInter binding-site,3ba942d750e20eb7936a3b77e386397e3391b77dadfb90a1ee96cec495b213e5,27
PAIR:9e41b3e69c7398240d8145f285729921788282f8055f5635cef4f144b27eed30,NPInter binding-site,07777de280aa505cfbd8b6cbda1d6dfc9cba402ee9ccd177ac88cd2dac4d9dd0,132
PAIR:670b9e7a369b1ccf6dee61227bd28a9285ad8a67e38a13ff7c70151dcec84bf5,NPInter binding-site,28f83da8f73ce115281d148b5ab72772daabab2e14217044171b65c047fc41c1,80
PAIR:6e19df6dc32c3d4d1b6723bfdb67d68e195726078b392946d3e73532b05bcb28,NPInter binding-site,1b41d8bc26d9196e146481caec5279ed8ecaacd89a6b0ce0747bc48cd8b41703,26
PAIR:dc2c9a143e95807dc52ce6d0921b17d3370dc73939b7d56d94c7150b904f482f,NPInter binding-site,3a791ab57b6fe6238f598890f96a533fc24da34a0fef01c7e75ee50e2ee705bd,28
